127.0.0.1 - - [09/Jun/2025:19:30:27 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [09/Jun/2025:19:30:28 +0530] "GET /servletDemo3/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2025:19:30:28 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [09/Jun/2025:19:30:37 +0530] "POST /servletDemo3/login HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [09/Jun/2025:19:31:02 +0530] "POST /servletDemo3/login HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [09/Jun/2025:19:37:07 +0530] "POST /servletDemo3/login HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [09/Jun/2025:19:37:10 +0530] "GET /servletDemo3/home.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [09/Jun/2025:19:37:15 +0530] "GET /servletDemo3/aboutus.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [09/Jun/2025:19:39:47 +0530] "POST /servletDemo3/login HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [09/Jun/2025:19:39:49 +0530] "GET /servletDemo3/home.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [09/Jun/2025:19:39:51 +0530] "GET /servletDemo3/profile.jsp HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [09/Jun/2025:19:39:54 +0530] "GET /servletDemo3/aboutus.jsp HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [09/Jun/2025:19:40:08 +0530] "GET /servletDemo3/aboutus.jsp HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [09/Jun/2025:19:40:10 +0530] "GET /servletDemo3/home.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [09/Jun/2025:19:40:15 +0530] "GET /servletDemo3/aboutus.jsp HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [09/Jun/2025:19:40:17 +0530] "GET /servletDemo3/profile.jsp HTTP/1.1" 200 235
